zip_code,Number of unemployed 16 years and older in the civilian workforce,Population 16 years and older in the civilian workforce,Percentage of families below the poverty level,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage
60613,1541,37590,2.4,1541.0,37590.0,2.4,4.099494546421921
60614,1690,47055,4.0,1690.0,47055.0,4.0,3.591541812772288
60619,5080,29132,20.6,5080.0,29132.0,20.6,17.43786901002334
60620,4769,29351,17.7,4769.0,29351.0,17.7,16.248168716568433
60621,2148,11720,24.7,2148.0,11720.0,24.7,18.327645051194537
60623,3238,34361,20.1,3238.0,34361.0,20.1,9.423474287709904
60624,2810,15155,29.2,2810.0,15155.0,29.2,18.541735400857803
60626,1823,30102,11.7,1823.0,30102.0,11.7,6.056076008238655
60636,2365,12594,29.7,2365.0,12594.0,29.7,18.778783547721137
60640,2386,44746,13.0,2386.0,44746.0,13.0,5.33232020739284
60641,2325,38506,10.0,2325.0,38506.0,10.0,6.03802004882356
60645,1661,23259,12.1,1661.0,23259.0,12.1,7.141321638935466
60647,2365,57167,8.5,2365.0,57167.0,8.5,4.137002116605734
60651,3488,29853,23.5,3488.0,29853.0,23.5,11.683917864201252
60657,1777,52205,3.9,1777.0,52205.0,3.9,3.4038885164256296
60660,1630,26530,8.3,1630.0,26530.0,8.3,6.143987938183189
