zip_code,Number of unemployed 16 years and older in the civilian workforce,Population 16 years and older in the civilian workforce,Percentage of families below the poverty level,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage,neighborhood,year_of_economic_data
60613,1541,37590,2.4,1541,37590,2.4,4.099494546421921,Lake View,2023
60614,1690,47055,4.0,1690,47055,4.0,3.591541812772288,Lincoln Park,2023
60619,5080,29132,20.6,5080,29132,20.6,17.43786901002334,Chatham,2023
60620,4769,29351,17.7,4769,29351,17.7,16.248168716568433,Chatham,2023
60621,2148,11720,24.7,2148,11720,24.7,18.327645051194537,Englewood,2023
60623,3238,34361,20.1,3238,34361,20.1,9.423474287709904,North Lawndale,2023
60624,2810,15155,29.2,2810,15155,29.2,18.541735400857803,East Garfield Park,2023
60626,1823,30102,11.7,1823,30102,11.7,6.056076008238655,Rogers Park,2023
60636,2365,12594,29.7,2365,12594,29.7,18.778783547721137,Englewood,2023
60640,2386,44746,13.0,2386,44746,13.0,5.33232020739284,Edgewater,2023
60641,2325,38506,10.0,2325,38506,10.0,6.03802004882356,Portage Park,2023
60645,1661,23259,12.1,1661,23259,12.1,7.141321638935466,Rogers Park,2023
60647,2365,57167,8.5,2365,57167,8.5,4.137002116605734,Humboldt Park,2023
60651,3488,29853,23.5,3488,29853,23.5,11.683917864201252,Humboldt Park,2023
60657,1777,52205,3.9,1777,52205,3.9,3.4038885164256296,Lincoln Park,2023
60660,1630,26530,8.3,1630,26530,8.3,6.143987938183189,Edgewater,2023
