RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency
15016902025201,ACE Amandla Charter School,Chicago,*,*,*
15016904025202,Barbara A Sizemore Campus,Chicago,39.4,17.0,24.5
15016904025201,Betty  Shabazz International Charter School,Chicago,49.2,24.9,25.9
070161100022002,Charles J Sahs Elem School,Chicago,59.9,49.4,32.1
15016299025229,Academy for Global Citizenship,Chicago,37.1,10.9,23.2
15016299025284,Acero Chtr Sch Network  - Jovita Idar Elem School,Chicago,39.7,18.3,32.8
15016299025085,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Chicago,24.1,*,24.1
15016299025262,Acero Chtr Sch Network - Bartolome de las Casas Elem Sch,Chicago,24.0,9.1,*
15016299025270,Acero Chtr Sch Network - Brighton Park Elem School,Chicago,29.2,13.1,12.3
15016299025261,Acero Chtr Sch Network - Carlos Fuentes  Elem School,Chicago,26.1,15.0,14.3
15016299025267,Acero Chtr Sch Network - Esmeralda Santiago Elem Sch,Chicago,34.3,23.1,27.8
15016299025259,Acero Chtr Sch Network - Octavio Paz Elem School,Chicago,26.7,28.0,*
15016299025263,Acero Chtr Sch Network - Officer Donald J Marquez  Elem,Chicago,24.3,16.4,18.4
15016299025285,Acero Chtr Sch Network - PFC Omar E Torres Elem Sch,Chicago,26.6,10.1,11.3
15016299025260,Acero Chtr Sch Network - Rufino Tamayo Elem Sch,Chicago,54.3,27.3,28.3
15016299025264,Acero Chtr Sch Network - SPC Daniel Zizumbo Elem Sch,Chicago,39.7,17.5,21.5
15016299025086,Acero Chtr Sch Network Victoria Soto Campus,Chicago,15.2,*,16.7
15016299025266,Acero Chtr Sch Network- Sandra Cisneros Elem School,Chicago,26.1,9.9,18.6
15016299025049,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,Chicago,20.4,10.0,19.8
15016299025268,Acero Chtr Sch Newtwork - Roberto Clemente Elem School,Chicago,30.1,12.1,12.5
150162990252051,Addams Elem School,Chicago,46.7,24.5,46.5
150162990250848,Air Force Acad High School,Chicago,*,*,*
150162990252850,Albany Park Multicultural Elem,Chicago,36.3,21.5,29.9
150162990250849,Alcott College Prep,Chicago,*,*,26.2
150162990252053,Alcott Elem School,Chicago,81.0,73.2,72.8
150162990252054,Aldridge Elem School,Chicago,33.8,9.9,*
150162990250001,Amundsen High School,Chicago,70.3,50.6,62.4
150162990252895,Ariel Elem Community Academy,Chicago,24.7,12.6,16.4
150162990252058,Armour Elem School,Chicago,60.1,28.2,30.0
150162990252059,Armstrong G Elem IntL Studies,Chicago,56.3,44.4,37.6
15016299025111,Art in Motion Charter School,Chicago,26.5,6.9,18.3
150162990252922,Ashburn Community Elem School,Chicago,33.6,10.3,28.4
150162990252437,Ashe Elem School,Chicago,24.4,*,*
15016299025214,Asian Human Services -Passage Chrtr,Chicago,23.8,8.6,*
15016299025079,Aspira Charter - Business and Finance HS,Chicago,16.0,*,16.0
15016299025074,ASPIRA Charter - Early College Prep HS,Chicago,18.8,*,23.4
15016299025110,ASPIRA Charter - Haugan Campus,Chicago,47.0,14.3,35.0
150162990252062,Audubon Elem School,Chicago,86.3,76.6,71.8
150162990250844,Austin College and Career Academy High School,Chicago,*,*,*
150162990252063,Avalon Park Elem School,Chicago,29.5,13.0,*
150162990252881,Avondale - Logandale Elementary School,Chicago,39.7,18.7,25.9
150162990252966,Azuela Elem School,Chicago,41.9,19.3,37.4
150162990250014,Back of The Yards IB HS,Chicago,48.5,28.3,43.8
150162990252066,Barnard Elem Comp Math & Sci Ctr,Chicago,36.4,17.9,31.5
150162990252067,Barry Elem School,Chicago,30.5,19.0,*
150162990252068,Barton Elem School,Chicago,15.2,6.3,*
150162990252069,Bass Elem School,Chicago,17.6,10.2,*
150162990252070,Bateman Elem School,Chicago,47.5,26.7,33.3
150162990253760,Beard Elem School,Chicago,,,
150162990252800,Beasley Elem Magnet Academic Ctr,Chicago,46.5,27.9,36.1
150162990252078,Beaubien Elem School,Chicago,70.5,52.2,63.9
150162990252079,Beethoven Elem School,Chicago,12.2,*,*
150162990252080,Beidler Elem School,Chicago,24.5,7.3,*
150162990252081,Belding Elem School,Chicago,62.7,48.9,46.3
150162990252082,Bell Elem School,Chicago,84.8,73.5,82.0
150162990252923,Belmont-Cragin Elem School,Chicago,16.9,16.0,27.7
150162990252083,Bennett Elem School,Chicago,43.7,13.5,*
150162990252086,Black Magnet Elem School,Chicago,70.1,51.3,43.8
150162990252087,Blaine Elem School,Chicago,83.8,77.9,77.8
150162990253761,Blair Early Childhood Center,Chicago,,,
150162990250003,Bogan High School,Chicago,10.3,*,8.3
150162990252088,Bond Elem School,Chicago,13.7,*,*
150162990252100,Bouchet Elem Math & Science Acad,Chicago,31.3,17.2,17.6
150162990250824,Bowen High School,Chicago,*,*,*
150162990252090,Bradwell Comm Arts & Sci Elem Sch,Chicago,15.6,*,*
150162990252093,Brennemann Elem School,Chicago,25.9,16.1,22.4
150162990252094,Brentano Elem Math & Science Acad,Chicago,64.0,45.1,57.2
150162990252244,Bret Harte Elem School,Chicago,32.5,14.1,21.5
150162990252095,Bridge Elem School,Chicago,44.8,31.0,44.4
150162990252096,Bright Elem School,Chicago,18.9,*,*
150162990252870,Brighton Park Elem School,Chicago,35.1,16.2,23.1
150162990252972,Bronzeville Classical Elementary School,Chicago,92.4,79.9,78.0
150162990250834,Bronzeville Scholastic HS,Chicago,*,*,*
150162990250788,Brooks College Prep Academy HS,Chicago,88.2,64.6,76.3
150162990252367,Brown R Elem Community Acad,Chicago,45.6,9.4,*
150162990252098,Brownell Elem School,Chicago,35.5,14.5,*
150162990252110,Brunson Math & Sci Specialty Elem,Chicago,13.8,*,*
150162990252101,Budlong Elem School,Chicago,58.8,39.8,52.4
150162990252102,Burbank Elem School,Chicago,24.3,15.9,17.1
150162990252103,Burke Elem School,Chicago,12.3,10.0,*
150162990252104,Burley Elem School,Chicago,86.7,71.8,76.3
150162990252105,Burnham Elem Inclusive Academy,Chicago,20.5,10.2,*
150162990252107,Burnside Elem Scholastic Academy,Chicago,47.6,15.4,22.9
150162990252108,Burr Elem School,Chicago,76.2,51.1,58.9
150162990252109,Burroughs Elem School,Chicago,59.4,34.8,40.0
150162990252112,Byrne Elem School,Chicago,46.2,25.8,38.5
150162990252934,Calmeca Acad Elem School,Chicago,28.6,8.4,18.3
150162990252118,Cameron Elem School,Chicago,26.3,14.2,14.6
150162990252963,Camras Elem School,Chicago,34.5,18.6,23.6
150162990252119,Canty Elem School,Chicago,64.4,49.1,56.8
150162990252783,Cardenas Elem School,Chicago,49.9,30.7,28.1
150162990252120,Carnegie Elem School,Chicago,38.0,25.5,21.3
150162990252122,Carroll Elem School,Chicago,41.2,16.0,24.4
150162990252876,Carson Elem School,Chicago,46.8,30.9,28.2
150162990252123,Carter Elem School,Chicago,18.6,7.7,*
150162990250006,Carver Military Academy HS,Chicago,15.3,*,25.5
150162990252372,Carver Primary School,Chicago,19.1,4.7,*
150162990252862,Casals Elem School,Chicago,66.3,53.2,26.0
150162990252126,Cassell Elem School,Chicago,68.7,53.8,59.6
15016299025232,Catalyst Charter - Maria ES,Chicago,32.6,21.4,21.5
15016299025228,Catalyst Charter-Circle Rock ES,Chicago,48.0,20.9,30.4
150162990252127,Cather Elem School,Chicago,24.5,15.5,*
150162990252128,Chalmers STEAM Elementary,Chicago,32.8,9.5,*
150162990252129,Chappell Elem School,Chicago,64.3,47.6,59.1
150162990252130,Chase Elem School,Chicago,54.1,30.3,40.8
150162990252886,Chavez Elem Multicultural Acad Ct,Chicago,53.5,48.6,47.7
150162990252920,Chicago Academy Elem School,Chicago,56.9,33.8,27.3
150162990250820,Chicago Academy High School,Chicago,53.8,23.9,42.7
15016299025236,Chicago Collegiate Charter School,Chicago,16.1,*,*
150162990250772,Chicago HS for Agricult Sciences,Chicago,53.4,25.8,53.1
150162990250851,Chicago HS for the Arts,Chicago,58.9,22.3,46.4
15016299025217,Chicago Math & Sci Elem Charter,Chicago,37.4,23.7,31.6
150162990250795,Chicago Military Academy HS,Chicago,*,*,44.4
150162990250850,Chicago Technology Academy HS,Chicago,13.6,*,*
150162990250526,Chicago Vocational Career Acad HS,Chicago,7.6,*,9.9
150162990252283,Chicago World Language Academy,Chicago,70.4,49.8,50.5
150162990252155,Chopin Elem School,Chicago,19.6,7.8,18.4
150162990252904,Christopher Elem School,Chicago,14.9,6.9,*
15016299025235,Christopher House Chrt ES,Chicago,27.2,11.6,16.0
15016299025252,CICS - Avalon/South Shore,Chicago,59.3,35.9,15.0
15016299025277,CICS - Basil Campus,Chicago,55.3,30.6,20.2
15016299025280,CICS - Bond Campus,Chicago,20.0,13.1,*
15016299025246,CICS - Bucktown Campus,Chicago,31.5,20.7,14.8
15016299025254,CICS - Irving Park Campus,Chicago,51.3,32.6,28.2
15016299025247,CICS - Longwood Campus,Chicago,21.9,8.5,11.1
15016299025255,CICS - Loomis Primary Campus,Chicago,*,*,
15016299025082,CICS - Northtown  Campus,Chicago,34.0,17.7,28.2
15016299025248,CICS - Prairie Campus,Chicago,27.9,15.9,*
15016299025083,CICS - Ralph Ellison Campus,Chicago,18.6,*,*
15016299025249,CICS - Washington Pk Campus,Chicago,53.2,28.1,*
15016299025251,CICS - West Belden Campus,Chicago,34.0,21.2,15.8
15016299025278,CICS - Wrightwood,Chicago,28.0,7.7,9.0
150162990252936,Claremont STEM Magnet Elementary School,Chicago,22.0,13.9,*
150162990252700,Clark  G R Elem School,Chicago,43.6,19.2,*
150162990250827,Clark Acad Prep Magnet High Schl,Chicago,*,*,18.9
150162990252132,Clay Elem School,Chicago,33.9,12.2,20.9
150162990250545,Clemente Community Academy HS,Chicago,15.6,*,13.4
150162990252133,Cleveland Elem School,Chicago,46.9,21.9,19.5
150162990252134,Clinton Elem School,Chicago,36.6,28.3,25.1
150162990252135,Clissold Elem School,Chicago,36.8,17.1,20.6
150162990252918,Colemon J Elem Academy,Chicago,50.5,32.0,34.2
150162990252136,Coles Elem Language Academy,Chicago,25.0,25.9,*
150162990250841,Collins Academy STEAM High School,Chicago,*,*,*
150162990252919,Columbia Explorers Elem Academy,Chicago,59.3,37.7,41.5
150162990252139,Cook Elem School,Chicago,19.6,*,*
150162990252141,Coonley Elem School,Chicago,80.4,72.4,70.4
150162990252142,Cooper Elem Dual Language Academy,Chicago,27.3,15.1,21.8
150162990252145,Corkery Elem School,Chicago,12.3,9.8,24.8
150162990250543,Corliss High School,Chicago,*,*,*
150162990252921,Courtenay Elem Language Arts Ctr,Chicago,22.0,12.6,*
150162990250052,Crane Medical Prep HS,Chicago,13.3,*,14.7
150162990252147,Crown Elem Comm Acd Fine Arts Ctr,Chicago,31.7,*,*
150162990252617,Cuffe Math-Sci Tech Elem Academy,Chicago,30.8,9.5,*
150162990252637,Cullen Elem School,Chicago,37.6,15.2,*
