RCDTS,zip_code,county
010010010260000,62360,Adams
010010010260001,62360,Adams
010010010262002,62360,Adams
010010020260000,62347,Adams
010010020260001,62347,Adams
010010020262002,62347,Adams
010010030260000,62320,Adams
010010030260001,62320,Adams
010010030261001,62320,Adams
010010030262003,62339,Adams
010010030262008,62320,Adams
010010040260000,62351,Adams
010010040260001,62351,Adams
010010040262006,62351,Adams
010010040262007,62351,Adams
010011720220000,62301,Adams
010011720220003,62301,Adams
010011720221003,62301,Adams
010011720222004,62305,Adams
010011720222006,62305,Adams
010011720222009,62301,Adams
010011720222016,62305,Adams
010011720222017,62305,Adams
010011720223004,62301,Adams
010011720223005,62305,Adams
010050010260000,62353,Brown
010050010260001,62353,Brown
010050010261002,62353,Brown
010050010262002,62353,Brown
010090150260000,62618,Cass
010090150260007,62618,Cass
010090150262003,62618,Cass
010090640260000,62691,Cass
010090640260003,62691,Cass
010090640262001,62691,Cass
010092620260000,62612,Cass
010092620260002,62612,Cass
010092620261002,62612,Cass
010092620262001,62627,Cass
010690010260000,62638,Morgan
010690010260001,62638,Morgan
010690010262005,62638,Morgan
010690010262006,62638,Morgan
010690060260000,62692,Morgan
010690060260001,62692,Morgan
010690060262002,62692,Morgan
010690110260000,62665,Morgan
010690110260001,62665,Morgan
010690110261001,62665,Morgan
010690110262003,62665,Morgan
010690270260000,62631,Morgan
010690270260001,62631,Morgan
010690270262002,62631,Morgan
010691170220000,62650,Morgan
010691170220014,62650,Morgan
010691170221013,62650,Morgan
010691170222001,62650,Morgan
010691170222005,62650,Morgan
010691170222006,62650,Morgan
010691170222007,62650,Morgan
010691170222008,62650,Morgan
010691170222009,62668,Morgan
010691170223011,62650,Morgan
010691170223012,62650,Morgan
010691170223013,62650,Morgan
010750030260000,62366,Pike
010750030260002,62366,Pike
010750030262001,62366,Pike
010750040260000,62340,Pike
010750040260002,62340,Pike
010750040261002,62362,Pike
010750040262001,62340,Pike
010750100260000,62363,Pike
010750100260009,62363,Pike
010750100262007,62363,Pike
010750100262010,62363,Pike
010750120260000,62312,Pike
010750120260001,62312,Pike
010750120261001,62345,Pike
010750120262001,62312,Pike
010860010260000,62694,Scott
010860010260001,62694,Scott
010860010262002,62694,Scott
010860020260000,62621,Scott
010860020260001,62621,Scott
010860020261001,62621,Scott
010860020262001,62621,Scott
030030010260000,62262,Bond
030030010260001,62262,Bond
030030010261001,62262,Bond
030030010262001,62262,Bond
030030020260000,62246,Bond
030030020260001,62246,Bond
030030020261002,62246,Bond
030030020262003,62246,Bond
030030020262004,62275,Bond
030030020263002,62246,Bond
030110010260000,62546,Christian
030110010260002,62546,Christian
030110010261001,62546,Christian
030110010262001,62546,Christian
030110030260000,62568,Christian
030110030260006,62568,Christian
030110030261005,62568,Christian
030110030262001,62568,Christian
030110030262003,62568,Christian
030110040260000,62531,Christian
030110040260002,62531,Christian
030110040261001,62531,Christian
030110040262001,62531,Christian
030110080260000,62557,Christian
030110080260006,62557,Christian
030110080261005,62557,Christian
030110080262001,62557,Christian
030110140240000,62540,Christian
030110140240001,62540,Christian
030110140242001,62540,Christian
030250100260000,62411,Effingham
030250100260001,62411,Effingham
030250100262002,62411,Effingham
030250200260000,62414,Effingham
030250200260001,62414,Effingham
030250200262003,62414,Effingham
030250300260000,62424,Effingham
030250300260001,62424,Effingham
030250300262002,62424,Effingham
030250400260000,62401,Effingham
030250400260001,62401,Effingham
030250400261001,62401,Effingham
030250400262002,62401,Effingham
030250400262006,62401,Effingham
030250400262008,62401,Effingham
030250400263002,62401,Effingham
030250500260000,62467,Effingham
030250500260001,62467,Effingham
030250500261001,62467,Effingham
030250500262002,62467,Effingham
030262010260000,62418,Fayette
030262010260003,62418,Fayette
030262010261001,62418,Fayette
030262010262001,62418,Fayette
030262020260000,62458,Fayette
030262020260002,62458,Fayette
030262020261001,62458,Fayette
030262020262001,62458,Fayette
030262030260000,62471,Fayette
030262030260001,62471,Fayette
030262030262008,62471,Fayette
030262030262009,62471,Fayette
030262040260000,62080,Fayette
030262040260002,62080,Fayette
030262040262001,62080,Fayette
030680020260000,62560,Montgomery
030680020260001,62560,Montgomery
030680020261002,62560,Montgomery
030680020262003,62533,Montgomery
030680020262005,62560,Montgomery
030680030260000,62049,Montgomery
030680030260001,62049,Montgomery
030680030261002,62049,Montgomery
030680030262003,62049,Montgomery
030680030263001,62017,Montgomery
030680120260000,62056,Montgomery
030680120260001,62056,Montgomery
030680120261002,62056,Montgomery
030680120262004,62056,Montgomery
030680120262006,62056,Montgomery
030680120263001,62056,Montgomery
030680220260000,62075,Montgomery
030680220260001,62075,Montgomery
030680220262003,62075,Montgomery
040041000260000,61008,Boone
040041000260001,61008,Boone
040041000260002,61008,Boone
040041000261002,61008,Boone
040041000261003,61008,Boone
040041000262003,61011,Boone
040041000262005,61008,Boone
040041000262007,61008,Boone
040041000262008,61008,Boone
040041000262009,61008,Boone
040041000262010,61008,Boone
040041000263001,61008,Boone
040042000260000,61065,Boone
040042000260003,61065,Boone
040042000261001,61065,Boone
040042000262001,61012,Boone
040042000262002,61065,Boone
040042000262004,61065,Boone
040042000262005,61065,Boone
041011220220000,61115,Winnebago
041011220220002,61115,Winnebago
041011220221005,61111,Winnebago
041011220222005,61111,Winnebago
041011220222006,61111,Winnebago
041011220222007,61115,Winnebago
041011220222008,61111,Winnebago
041011220222010,61115,Winnebago
041011220222011,61111,Winnebago
041011220222013,61115,Winnebago
041011220222014,61115,Winnebago
041011220222015,61115,Winnebago
04101131040000,61073,Winnebago
04101131041002,61073,Winnebago
04101131042001,61073,Winnebago
04101131042002,61073,Winnebago
04101131042003,61073,Winnebago
04101133040000,61080,Winnebago
04101133041001,61080,Winnebago
04101133042001,61080,Winnebago
04101134040000,61079,Winnebago
04101134042001,61079,Winnebago
04101140040000,61072,Winnebago
04101140041001,61072,Winnebago
04101140042001,61072,Winnebago
04101140042002,61072,Winnebago
041012050250000,61104,Winnebago
041012050250001,61101,Winnebago
041012050250002,61108,Winnebago
041012050250003,61114,Winnebago
041012050250004,61109,Winnebago
041012050251001,61103,Winnebago
041012050251006,61107,Winnebago
041012050251008,61108,Winnebago
041012050251009,61104,Winnebago
041012050251010,61101,Winnebago
041012050252014,61102,Winnebago
041012050252017,61107,Winnebago
041012050252018,61107,Winnebago
041012050252019,61114,Winnebago
04101205025201C,61102,Winnebago
041012050252022,61101,Winnebago
041012050252024,61102,Winnebago
041012050252027,61109,Winnebago
041012050252029,61108,Winnebago
04101205025202C,61101,Winnebago
041012050252034,61103,Winnebago
041012050252037,61109,Winnebago
041012050252039,61107,Winnebago
04101205025203C,61107,Winnebago
041012050252040,61104,Winnebago
041012050252041,61102,Winnebago
041012050252043,61101,Winnebago
041012050252051,61109,Winnebago
